Rectangular elastomeric bearings;;;;;;;;
Dimensions  a x b (mm) or D ;THICKNESS in mm ;;;;;;Number of layers n ;
;Unloaded bearing ;;Elastomer (total (*a)) ;;Elastomer layers ;Reinforcing plates ;min. ;max. 
;min. ;max. ;min. ;max. ;;;;
100 x 150 ;30;41;16;24;8;3;2;3
100 x 200 ;30;41;16;24;8;3;2;3
150 x 200 ;30;52;16;32;8;3;2;4
150 x 250 ;30;52;16;32;8;3;2;4
150 x 300 ;30;52;16;32;8;3;2;4
200 x 250 ;41;74;24;48;8;3;3;6
200 x 300 ;41;74;24;48;8;3;3;6
200 x 350 ;41;74;24;48;8;3;3;6
200 x 400 ;41;74;24;48;8;3;3;6
250 x 300 ;41;85;24;56;8;3;3;7
250 x 400 ;41;85;24;56;8;3;3;7
300 x 400 ;57;105;36;72;12;4;3;6
300 x 500 ;57;105;36;72;12;4;3;6
300 x 600 ;57;105;36;72;12;4;3;6
350 x 450 ;57;121;36;84;12;4;3;7
400 x 500 ;73;137;48;96;12;4;4;8
400 x 600 ;73;137;48;96;12;4;4;8
450 x 600 ;73;153;48;108;12;4;4;9
500 x 600 ;73;169;48;120;12;4;4;10
600 x 600 ;94;199;64;144;16;5;4;9
600 x 700 ;94;199;64;144;16;5;4;9
700 x 700 ;94;220;64;160;16;5;4;10
700 x 800 ;94;220;64;160;16;5;4;10
800 x 800 ;110;285;80;220;20;5;4;11
900 x 900 ;110;285;80;220;20;5;4;11
