Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,OD,bf,bfdet,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,Ht/t,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Qs,Iw,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,OD,bf,bfdet,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,Ht/t,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(α),Qs,Iw / 106,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
C,C15X50,C15X50,F,50.0,14.7,15.0,15      ,–,–,3.72,3  3/4 ,–,–,0.716, 11/16,  3/8 ,0.650,  5/8 ,–,–,–,1.44,1  7/16,–,0.799,–,0.583,0.490,–,–,5.72,17.7,–,–,404,68.5,53.8,5.24,11.0,8.14,3.77,0.865,–,–,–,2.65,492,–,17.4,13.7,11.6,5.86,14.0,34.1,5.49,0.937,–,–,–,–,–,–,–,–,–,1.17,14.4,–,–,C380X74,C380X74,74.0,9480,381,381,–,–,94.5,95.2,–,–,18.2,17.5,9.52,16.5,15.9,–,–,–,36.6,36.5,–,20.3,–,14.8,12.4,–,–,5.72,17.7,–,–,168,1120,882,133,4.58,133,61.8,22.0,–,–,–,1100,132,–,11200,5.70,4.83,2.44,229,559,139,0.937,–,–,–,–,–,–,–,–,–,29.7,366,–,–
C,C15X40,C15X40,F,40.0,11.8,15.0,15      ,–,–,3.52,3  1/2 ,–,–,0.520,  1/2 ,  1/4 ,0.650,  5/8 ,–,–,–,1.44,1  7/16,–,0.778,–,0.767,0.392,–,–,5.42,24.4,–,–,348,57.5,46.5,5.43,9.17,6.84,3.34,0.883,–,–,–,1.45,410,–,16.0,11.7,9.2,4.64,14.0,28.6,5.71,0.927,–,–,–,–,–,–,–,–,–,1.15,14.4,–,–,C380X60,C380X60,60.0,7610,381,381,–,–,89.4,88.9,–,–,13.2,12.7,6.35,16.5,15.9,–,–,–,36.6,36.5,–,19.8,–,19.5,9.96,–,–,5.42,24.4,–,–,145,942,762,138,3.82,112,54.7,22.4,–,–,–,604,110,–,10300,4.87,3.83,1.93,229,469,145,0.927,–,–,–,–,–,–,–,–,–,29.2,366,–,–
C,C15X33.9,C15X33.9,F,33.9,10.0,15.0,15      ,–,–,3.40,3  3/8 ,–,–,0.400,  3/8 ,  3/16,0.650,  5/8 ,–,–,–,1.44,1  7/16,–,0.788,–,0.896,0.332,–,–,5.23,31.8,–,–,315,50.8,42.0,5.61,8.07,6.19,3.09,0.901,–,–,–,1.01,358,–,15.1,10.4,7.55,3.81,14.0,25.2,5.94,0.920,–,–,–,–,–,–,–,–,–,1.13,14.4,–,–,C380X50.4,C380X50.4,50.4,6450,381,381,–,–,86.4,85.7,–,–,10.2,9.52,4.76,16.5,15.9,–,–,–,36.6,36.5,–,20.0,–,22.8,8.43,–,–,5.23,31.8,–,–,131,832,688,142,3.36,101,50.6,22.9,–,–,–,420,96.1,–,9740,4.33,3.14,1.59,229,413,151,0.920,–,–,–,–,–,–,–,–,–,28.7,366,–,–
C,C12X30,C12X30,F,30.0,8.81,12.0,12      ,–,–,3.17,3  1/8 ,–,–,0.510,  1/2 ,  1/4 ,0.501,  1/2 ,–,–,–,1.13,1  1/8 ,–,0.674,–,0.618,0.367,–,–,6.33,20.1,–,–,162,33.8,27.0,4.29,5.12,4.32,2.05,0.762,–,–,–,0.861,151,–,11.7,6.01,4.91,2.45,7.66,16.8,4.54,0.919,–,–,–,–,–,–,–,–,–,1.01,11.5,–,–,C310X45,C310X45,45.0,5680,305,305,–,–,80.5,79.4,–,–,13.0,12.7,6.35,12.7,12.7,–,–,–,28.7,28.6,–,17.1,–,15.7,9.32,–,–,6.33,20.1,–,–,67.4,554,442,109,2.13,70.8,33.6,19.4,–,–,–,358,40.5,–,7550,2.50,2.04,1.02,126,275,115,0.919,–,–,–,–,–,–,–,–,–,25.7,292,–,–
C,C12X25,C12X25,F,25.0,7.34,12.0,12      ,–,–,3.05,3      ,–,–,0.387,  3/8 ,  3/16,0.501,  1/2 ,–,–,–,1.13,1  1/8 ,–,0.674,–,0.746,0.306,–,–,6.09,26.5,–,–,144,29.4,24.0,4.43,4.45,3.82,1.87,0.779,–,–,–,0.538,130,–,11.0,5.29,4.02,1.99,7.67,14.6,4.72,0.909,–,–,–,–,–,–,–,–,–,1.00,11.5,–,–,C310X37,C310X37,37.0,4740,305,305,–,–,77.5,76.2,–,–,9.83,9.52,4.76,12.7,12.7,–,–,–,28.7,28.6,–,17.1,–,18.9,7.77,–,–,6.09,26.5,–,–,59.9,482,393,113,1.85,62.6,30.6,19.8,–,–,–,224,34.9,–,7100,2.20,1.67,0.828,126,239,120,0.909,–,–,–,–,–,–,–,–,–,25.4,292,–,–
C,C12X20.7,C12X20.7,F,20.7,6.08,12.0,12      ,–,–,2.94,3      ,–,–,0.282,  5/16,  3/16,0.501,  1/2 ,–,–,–,1.13,1  1/8 ,–,0.698,–,0.870,0.253,–,–,5.87,36.3,–,–,129,25.6,21.5,4.61,3.86,3.47,1.72,0.797,–,–,–,0.369,112,–,10.3,4.60,3.13,1.58,7.66,12.7,4.93,0.899,–,–,–,–,–,–,–,–,–,0.983,11.5,–,–,C310X30.8,C310X30.8,30.8,3920,305,305,–,–,74.7,76.2,–,–,7.16,7.94,4.76,12.7,12.7,–,–,–,28.7,28.6,–,17.7,–,22.1,6.43,–,–,5.87,36.3,–,–,53.7,420,352,117,1.61,56.9,28.2,20.2,–,–,–,154,30.1,–,6650,1.91,1.30,0.658,126,208,125,0.899,–,–,–,–,–,–,–,–,–,25.0,292,–,–
C,C10X30,C10X30,F,30.0,8.81,10.0,10      ,–,–,3.03,3      ,–,–,0.673, 11/16,  3/8 ,0.436,  7/16,–,–,–,1.00,1      ,–,0.649,–,0.368,0.441,–,–,6.95,12.6,–,–,103,26.7,20.7,3.43,3.93,3.78,1.65,0.668,–,–,–,1.22,79.5,–,9.51,4.12,3.61,1.81,4.91,13.3,3.63,0.921,–,–,–,–,–,–,–,–,–,0.924,9.56,–,–,C250X45,C250X45,45.0,5680,254,254,–,–,77.0,76.2,–,–,17.1,17.5,9.52,11.1,11.1,–,–,–,25.4,25.4,–,16.5,–,9.35,11.2,–,–,6.95,12.6,–,–,42.9,438,339,87.1,1.64,61.9,27.0,17.0,–,–,–,508,21.3,–,6140,1.71,1.50,0.753,80.5,218,92.2,0.921,–,–,–,–,–,–,–,–,–,23.5,243,–,–
C,C10X25,C10X25,F,25.0,7.35,10.0,10      ,–,–,2.89,2  7/8 ,–,–,0.526,  1/2 ,  1/4 ,0.436,  7/16,–,–,–,1.00,1      ,–,0.617,–,0.494,0.367,–,–,6.63,16.1,–,–,91.1,23.1,18.2,3.52,3.34,3.18,1.47,0.675,–,–,–,0.687,68.3,–,8.94,3.64,3.05,1.50,4.93,11.5,3.76,0.912,–,–,–,–,–,–,–,–,–,0.911,9.56,–,–,C250X37,C250X37,37.0,4740,254,254,–,–,73.4,73.0,–,–,13.4,12.7,6.35,11.1,11.1,–,–,–,25.4,25.4,–,15.7,–,12.5,9.32,–,–,6.63,16.1,–,–,37.9,379,298,89.4,1.39,52.1,24.1,17.1,–,–,–,286,18.3,–,5770,1.52,1.27,0.624,80.8,188,95.5,0.912,–,–,–,–,–,–,–,–,–,23.1,243,–,–
C,C10X20,C10X20,F,20.0,5.87,10.0,10      ,–,–,2.74,2  3/4 ,–,–,0.379,  3/8 ,  3/16,0.436,  7/16,–,–,–,1.00,1      ,–,0.606,–,0.636,0.294,–,–,6.28,22.3,–,–,78.9,19.4,15.8,3.67,2.80,2.70,1.31,0.690,–,–,–,0.368,56.9,–,8.25,3.10,2.39,1.18,4.92,9.66,3.93,0.900,–,–,–,–,–,–,–,–,–,0.894,9.56,–,–,C250X30,C250X30,30.0,3790,254,254,–,–,69.6,69.8,–,–,9.63,9.52,4.76,11.1,11.1,–,–,–,25.4,25.4,–,15.4,–,16.2,7.47,–,–,6.28,22.3,–,–,32.8,318,259,93.2,1.17,44.2,21.5,17.5,–,–,–,153,15.3,–,5320,1.29,0.995,0.491,80.6,158,99.8,0.900,–,–,–,–,–,–,–,–,–,22.7,243,–,–
