"L20x20x3-",0.882,20,3,3.5,2,1.12,0.60,1.41,0.84,0.70,0.080,87.40,"L20x20x3",0.882,0.39,0.28,0.59,0.61,0.74,0.16,0.38,-0.23,1,1,,,
"L25x25x3x/-",1.12,25,3,3.5,2,1.42,0.72,1.77,1.02,0.88,0.100,86.88,"L25x25x3",1.12,0.80,0.45,0.75,1.26,0.94,0.33,0.48,-0.47,1,2,,,
"L25x25x4x/-",1.45,25,4,3.5,2,1.85,0.76,1.77,1.08,0.89,0.100,66.67,"L25x25x4",1.45,1.01,0.58,0.74,1.60,0.93,0.43,0.48,-0.59,1,1,,,
"L30x30x3x/-",1.36,30,3,5,2.5,1.74,0.84,2.12,1.18,1.05,0.120,84.87,"L30x30x3",1.36,1.40,0.65,0.90,2.23,1.13,0.58,0.58,-0.83,1,4,,,
"L30x30x4x/-",1.78,30,4,5,2.5,2.27,0.88,2.12,1.24,1.06,0.120,65.02,"L30x30x4",1.78,1.80,0.85,0.89,2.86,1.12,0.75,0.57,-1.05,1,1,,,
"L35x35x4x/-",2.09,35,4,5,2.5,2.67,1.00,2.47,1.42,1.24,0.140,64.82,"L35x35x4",2.09,2.95,1.18,1.05,4.69,1.33,1.22,0.68,-1.73,1,2,,,
"L40x40x4x/-",2.42,40,4,6,3,3.08,1.12,2.83,1.58,1.40,0.150,64.07,"L40x40x4",2.42,4.47,1.55,1.21,7.10,1.52,1.84,0.77,-2.63,1,4,,,
"L40x40x5x/-",2.97,40,5,6,3,3.79,1.16,2.83,1.64,1.41,0.150,52.07,"L40x40x5",2.97,5.43,1.91,1.20,8.61,1.51,2.25,0.77,-3.18,1,1,,,
"L45x45x4.5x/-",3.06,45,4.5,7,3.5,3.90,1.26,3.18,1.78,1.58,0.170,56.83,"L45x45x4.5",3.06,7.15,2.20,1.35,11.35,1.71,2.94,0.87,-4.20,1,4,,,
"L50x50x4x/-",3.06,50,4,7,3.5,3.89,1.36,3.54,1.92,1.75,0.190,63.49,"L50x50x4",3.06,8.97,2.46,1.52,14.25,1.91,3.69,0.97,-5.28,4,4,,,
"L50x50x5x/-",3.77,50,5,7,3.5,4.80,1.40,3.54,1.99,1.76,0.190,51.46,"L50x50x5",3.77,10.96,3.05,1.51,17.42,1.90,4.51,0.97,-6.45,1,4,,,
"L50x50x6x/-",4.47,50,6,7,3.5,5.69,1.45,3.54,2.04,1.77,0.190,43.41,"L50x50x6",4.47,12.84,3.61,1.50,20.37,1.89,5.31,0.97,-7.53,1,2,,,
"L60x60x5x/-",4.57,60,5,8,4,5.82,1.64,4.24,2.32,2.11,0.230,51.04,"L60x60x5",4.57,19.37,4.45,1.82,30.78,2.30,7.97,1.17,-11.41,4,4,,,
"L60x60x6x/-",5.42,60,6,8,4,6.91,1.69,4.24,2.39,2.11,0.230,42.99,"L60x60x6",5.42,22.79,5.29,1.82,36.21,2.29,9.38,1.17,-13.41,1,4,,,
"L60x60x8x/-",7.09,60,8,8,4,9.03,1.77,4.24,2.50,2.14,0.230,32.89,"L60x60x8",7.09,29.15,6.89,1.80,46.20,2.26,12.11,1.16,-17.04,1,1,,,
"L65x65x7-",6.83,65,7,9,4.5,8.70,1.85,4.60,2.61,2.29,0.250,36.95,"L65x65x7",6.83,33.43,7.18,1.96,53.09,2.47,13.78,1.26,-19.65,1,3,,,
"L70x70x6-",6.38,70,6,9,4.5,8.13,1.93,4.95,2.73,2.46,0.270,42.68,"L70x70x6",6.38,36.88,7.27,2.13,58.61,2.69,15.16,1.37,-21.73,4,4,,,
"L70x70x7-",7.38,70,7,9,4.5,9.40,1.97,4.95,2.79,2.47,0.270,36.91,"L70x70x7",7.38,42.30,8.41,2.12,67.19,2.67,17.40,1.36,-24.90,1,4,,,
