0,1,2,3,4,5,6,7,8,9,10,11,12,13
,"Outside diameter","Thickness","Mass per metre","Area of section","Ratio for local buckling","Second moment of area","Radius of gyration","Elastic modulus","Plastic modulus","Torsional constants",,"Surface area",
,"","",,"","","","","","","","","Per metre","Per tonne"
,"D","t","","A","D/t","I","r","Z","S","J","C","",""
,"mm","mm","kg/m","cm2","","cm4","cm","cm3","cm3","cm4","cm3","m2","m2"
"CHS_21.3_2.6","21.3","2.6","1.20","1.53","8.19","0.681","0.668","0.639","0.915","1.36","1.28","0.067","55.8"
"CHS_21.3_2.9","21.3","2.9","1.32","1.68","7.34","0.727","0.659","0.683","0.990","1.45","1.37","0.067","50.8"
"CHS_21.3_3.2","21.3","3.2","1.43","1.82","6.66","0.768","0.650","0.722","1.06","1.54","1.44","0.067","46.9"
"CHS_26.9_2.6","26.9","2.6","1.56","1.98","10.3","1.48","0.864","1.10","1.54","2.96","2.20","0.085","54.5"
"CHS_26.9_2.9","26.9","2.9","1.72","2.19","9.28","1.60","0.855","1.19","1.68","3.19","2.38","0.085","49.4"
"CHS_26.9_3.2","26.9","3.2","1.87","2.38","8.41","1.70","0.846","1.27","1.81","3.41","2.53","0.085","45.5"
"CHS_26.9_3.6","26.9","3.6","2.07","2.64","7.47","1.83","0.834","1.36","1.97","3.66","2.72","0.085","41.1"
"CHS_33.7_2.6","33.7","2.6","1.99","2.54","13.0","3.09","1.10","1.84","2.52","6.19","3.67","0.106","53.3"
"CHS_33.7_2.9","33.7","2.9","2.20","2.81","11.6","3.36","1.09","1.99","2.76","6.71","3.98","0.106","48.2"
"CHS_33.7_3.2","33.7","3.2","2.41","3.07","10.5","3.60","1.08","2.14","2.99","7.21","4.28","0.106","44.0"
"CHS_33.7_3.6","33.7","3.6","2.67","3.40","9.36","3.91","1.07","2.32","3.28","7.82","4.64","0.106","39.7"
"CHS_33.7_4.0","33.7","4.0","2.93","3.73","8.43","4.19","1.06","2.49","3.55","8.38","4.97","0.106","36.2"
"CHS_33.7_4.5","33.7","4.5","3.24","4.13","7.49","4.50","1.04","2.67","3.87","9.01","5.35","0.106","32.7"
"CHS_42.4_2.6","42.4","2.6","2.55","3.25","16.3","6.46","1.41","3.05","4.12","12.9","6.10","0.133","52.2"
"CHS_42.4_2.9","42.4","2.9","2.82","3.60","14.6","7.06","1.40","3.33","4.53","14.1","6.66","0.133","47.2"
"CHS_42.4_3.2","42.4","3.2","3.09","3.94","13.3","7.62","1.39","3.59","4.93","15.2","7.19","0.133","43.0"
"CHS_42.4_3.6","42.4","3.6","3.44","4.39","11.8","8.33","1.38","3.93","5.44","16.7","7.86","0.133","38.7"
"CHS_42.4_4.0","42.4","4.0","3.79","4.83","10.6","8.99","1.36","4.24","5.92","18.0","8.48","0.133","35.1"
"CHS_42.4_4.5","42.4","4.5","4.21","5.36","9.42","9.76","1.35","4.60","6.49","19.5","9.20","0.133","31.6"
"CHS_48.3_2.6","48.3","2.6","2.93","3.73","18.6","9.78","1.62","4.05","5.44","19.6","8.10","0.152","51.9"
"CHS_48.3_2.9","48.3","2.9","3.25","4.14","16.7","10.7","1.61","4.43","5.99","21.4","8.86","0.152","46.8"
"CHS_48.3_3.2","48.3","3.2","3.56","4.53","15.1","11.6","1.60","4.80","6.52","23.2","9.59","0.152","42.7"
"CHS_48.3_3.6","48.3","3.6","3.97","5.06","13.4","12.7","1.59","5.26","7.21","25.4","10.5","0.152","38.3"
"CHS_48.3_4.0","48.3","4.0","4.37","5.57","12.1","13.8","1.57","5.70","7.87","27.5","11.4","0.152","34.8"
"CHS_48.3_4.5","48.3","4.5","4.86","6.19","10.7","15.0","1.56","6.21","8.66","30.0","12.4","0.152","31.3"
"CHS_48.3_5.0","48.3","5.0","5.34","6.80","9.66","16.2","1.54","6.69","9.42","32.3","13.4","0.152","28.5"
"CHS_48.3_5.6","48.3","5.6","5.90","7.51","8.63","17.4","1.52","7.21","10.3","34.8","14.4","0.152","25.8"
"CHS_48.3_6.3","48.3","6.3","6.53","8.31","7.67","18.7","1.50","7.76","11.2","37.5","15.5","0.152","23.3"
"CHS_60.3_2.6","60.3","2.6","3.70","4.71","23.2","19.7","2.04","6.52","8.66","39.3","13.0","0.189","51.1"
"CHS_60.3_2.9","60.3","2.9","4.11","5.23","20.8","21.6","2.03","7.16","9.56","43.2","14.3","0.189","46.0"
"CHS_60.3_3.2","60.3","3.2","4.51","5.74","18.8","23.5","2.02","7.78","10.4","46.9","15.6","0.189","41.9"
"CHS_60.3_3.6","60.3","3.6","5.03","6.41","16.8","25.9","2.01","8.58","11.6","51.7","17.2","0.189","37.6"
"CHS_60.3_4.0","60.3","4.0","5.55","7.07","15.1","28.2","2.00","9.34","12.7","56.3","18.7","0.189","34.1"
"CHS_60.3_4.5","60.3","4.5","6.19","7.89","13.4","30.9","1.98","10.2","14.0","61.8","20.5","0.189","30.5"
"CHS_60.3_5.0","60.3","5.0","6.82","8.69","12.1","33.5","1.96","11.1","15.3","67.0","22.2","0.189","27.7"
"CHS_60.3_5.6","60.3","5.6","7.55","9.62","10.8","36.4","1.94","12.1","16.8","72.7","24.1","0.189","25.0"
"CHS_60.3_6.3","60.3","6.3","8.39","10.7","9.57","39.5","1.92","13.1","18.5","79.0","26.2","0.189","22.5"
"CHS_60.3_7.1","60.3","7.1","9.32","11.9","8.49","42.7","1.90","14.2","20.2","85.5","28.3","0.189","20.3"
"CHS_60.3_8.0","60.3","8.0","10.3","13.1","7.54","46.0","1.87","15.3","22.1","92.0","30.5","0.189","18.3"
"CHS_76.1_2.9","76.1","2.9","5.24","6.67","26.2","44.7","2.59","11.8","15.5","89.5","23.5","0.239","45.6"
"CHS_76.1_3.2","76.1","3.2","5.75","7.33","23.8","48.8","2.58","12.8","17.0","97.6","25.6","0.239","41.6"
"CHS_76.1_3.6","76.1","3.6","6.44","8.20","21.1","54.0","2.57","14.2","18.9","108","28.4","0.239","37.1"
"CHS_76.1_4.0","76.1","4.0","7.11","9.06","19.0","59.1","2.55","15.5","20.8","118","31.0","0.239","33.6"
"CHS_76.1_4.5","76.1","4.5","7.95","10.1","16.9","65.1","2.54","17.1","23.1","130","34.2","0.239","30.1"
"CHS_76.1_5.0","76.1","5.0","8.77","11.2","15.2","70.9","2.52","18.6","25.3","142","37.3","0.239","27.3"
"CHS_76.1_5.6","76.1","5.6","9.74","12.4","13.6","77.5","2.50","20.4","27.9","155","40.8","0.239","24.5"
"CHS_76.1_6.3","76.1","6.3","10.8","13.8","12.1","84.8","2.48","22.3","30.8","170","44.6","0.239","22.1"
"CHS_76.1_7.1","76.1","7.1","12.1","15.4","10.7","92.6","2.45","24.3","33.9","185","48.7","0.239","19.8"
"CHS_76.1_8.0","76.1","8.0","13.4","17.1","9.51","101","2.42","26.4","37.3","201","52.9","0.239","17.8"
"CHS_88.9_3.2","88.9","3.2","6.76","8.62","27.8","79.2","3.03","17.8","23.5","158","35.6","0.279","41.3"
"CHS_88.9_3.6","88.9","3.6","7.57","9.65","24.7","87.9","3.02","19.8","26.2","176","39.5","0.279","36.9"
"CHS_88.9_4.0","88.9","4.0","8.38","10.7","22.2","96.3","3.00","21.7","28.9","193","43.3","0.279","33.3"
"CHS_88.9_4.5","88.9","4.5","9.37","11.9","19.8","107","2.99","24.0","32.1","213","47.9","0.279","29.8"
"CHS_88.9_5.0","88.9","5.0","10.3","13.2","17.8","116","2.97","26.2","35.2","233","52.4","0.279","27.1"
"CHS_88.9_5.6","88.9","5.6","11.5","14.7","15.9","128","2.95","28.7","38.9","255","57.5","0.279","24.3"
"CHS_88.9_6.3","88.9","6.3","12.8","16.3","14.1","140","2.93","31.5","43.1","280","63.1","0.279","21.8"
"CHS_88.9_7.1","88.9","7.1","14.3","18.2","12.5","154","2.90","34.6","47.6","308","69.2","0.279","19.5"
"CHS_88.9_8.0","88.9","8.0","16.0","20.3","11.1","168","2.87","37.8","52.5","336","75.6","0.279","17.4"
"CHS_88.9_10.0","88.9","10.0","19.5","24.8","8.89","196","2.81","44.1","62.6","392","88.2","0.279","14.3"
"CHS_101.6_3.6","101.6","3.6","8.70","11.1","28.2","133","3.47","26.2","34.6","266","52.5","0.319","36.7"
"CHS_101.6_4.0","101.6","4.0","9.63","12.3","25.4","146","3.45","28.8","38.1","293","57.6","0.319","33.1"
"CHS_101.6_4.5","101.6","4.5","10.8","13.7","22.6","162","3.44","31.9","42.5","324","63.8","0.319","29.5"
"CHS_101.6_5.0","101.6","5.0","11.9","15.2","20.3","177","3.42","34.9","46.7","355","69.9","0.319","26.8"
"CHS_101.6_5.6","101.6","5.6","13.3","16.9","18.1","195","3.40","38.4","51.7","390","76.9","0.319","24.0"
"CHS_101.6_6.3","101.6","6.3","14.8","18.9","16.1","215","3.38","42.3","57.3","430","84.7","0.319","21.6"
"CHS_101.6_7.1","101.6","7.1","16.5","21.1","14.3","237","3.35","46.6","63.5","473","93.2","0.319","19.3"
"CHS_101.6_8.0","101.6","8.0","18.5","23.5","12.7","260","3.32","51.1","70.3","519","102","0.319","17.2"
"CHS_101.6_10.0","101.6","10.0","22.6","28.8","10.2","305","3.26","60.1","84.2","611","120","0.319","14.1"
"CHS_114.3_3.6","114.3","3.6","9.83","12.5","31.8","192","3.92","33.6","44.1","384","67.2","0.359","36.5"
"CHS_114.3_4.0","114.3","4.0","10.9","13.9","28.6","211","3.90","36.9","48.7","422","73.9","0.359","32.9"
