"R10",0.617,10,0.785
"R12",0.888,12,1.13
"R14",1.21,14,1.54
"R16",1.58,16,2.01
"R18",2,18,2.54
"R20",2.47,20,3.14
"R22",2.98,22,3.8
"R22_25",3.05,22.25,3.89
"R23_6",3.43,23.6,4.37
"R24",3.55,24,4.52
"R24_5",3.7,24.5,4.71
"R25",3.85,25,4.91
"R26",4.17,26,5.31
"R26_7",4.4,26.7,5.6
"R27",4.49,27,5.73
"R28",4.83,28,6.16
"R29",5.19,29,6.61
"R29_5",5.37,29.5,6.83
"R29_7",5.44,29.7,6.93
"R30",5.55,30,7.07
"R31",5.92,31,7.55
"R32",6.31,32,8.04
"R34",7.13,34,9.08
"R34_4",7.3,34.4,9.29
"R35",7.55,35,9.62
"R35_7",7.86,35.7,10
"R36",7.99,36,10.2
"R37",8.44,37,10.8
"R38",8.9,38,11.3
"R39",9.38,39,11.9
"R39_2",9.47,39.2,12.1
"R40",9.86,40,12.6
"R42",10.9,42,13.9
"R44",11.9,44,15.2
"R45",12.5,45,15.9
"R46",13,46,16.6
"R47",13.6,47,17.3
"R48",14.2,48,18.1
"R49_2",14.9,49.2,19
"R50",15.4,50,19.6
"R51",16,51,20.4
"R52",16.7,52,21.2
"R53",17.3,53,22.1
"R54",18,54,22.9
"R55",18.7,55,23.8
"R55_8",19.2,55.8,24.5
"R56",19.3,56,24.6
"R57",20,57,25.5
"R58",20.7,58,26.4
"R59",21.5,59,27.3
"R60",22.2,60,28.3
"R62",23.7,62,30.2
"R63",24.5,63,31.2
"R65",26,65,33.2
"R70",30.2,70,38.5
"R75",34.7,75,44.2
"R80",39.5,80,50.3
"R85",44.5,85,56.7
"R90",49.9,90,63.6
"R95",55.6,95,70.9
"R100",61.7,100,78.5
"R105",68,105,86.6
"R110",74.6,110,95
"R120",88.8,120,113
"R130",104,130,133
